Zeitstempel;Raum 004 Kumulativ (kWh)
2025-02-01 00:00:00;0.01
2025-02-01 01:00:00;0.03
2025-02-01 02:00:00;0.07
2025-02-01 03:00:00;0.11
2025-02-01 04:00:00;0.13
2025-02-01 05:00:00;0.17
2025-02-01 06:00:00;0.2
2025-02-01 07:00:00;0.63
2025-02-01 08:00:00;1.09
2025-02-01 09:00:00;1.67
2025-02-01 10:00:00;1.87
2025-02-01 11:00:00;2.47
2025-02-01 12:00:00;3.02
2025-02-01 13:00:00;3.56
2025-02-01 14:00:00;4.04
2025-02-01 15:00:00;4.39
2025-02-01 16:00:00;4.93
2025-02-01 17:00:00;5.28
2025-02-01 18:00:00;5.33
2025-02-01 19:00:00;5.35
2025-02-01 20:00:00;5.39
2025-02-01 21:00:00;5.41
2025-02-01 22:00:00;5.43
2025-02-01 23:00:00;5.48
