Zeitstempel;Temperatur Raum 007 (°C)
2025-02-01 00:00:00;18.6
2025-02-01 01:00:00;18.3
2025-02-01 02:00:00;18.9
2025-02-01 03:00:00;18.6
2025-02-01 04:00:00;18.9
2025-02-01 05:00:00;18.5
2025-02-01 06:00:00;19.8
2025-02-01 07:00:00;18.9
2025-02-01 08:00:00;18.7
2025-02-01 09:00:00;21.7
2025-02-01 10:00:00;20.7
2025-02-01 11:00:00;21.8
2025-02-01 12:00:00;21.8
2025-02-01 13:00:00;20.7
2025-02-01 14:00:00;20.2
2025-02-01 15:00:00;20.6
2025-02-01 16:00:00;20.3
2025-02-01 17:00:00;20.8
2025-02-01 18:00:00;19.8
2025-02-01 19:00:00;18.3
2025-02-01 20:00:00;18.3
2025-02-01 21:00:00;18.1
2025-02-01 22:00:00;18.4
2025-02-01 23:00:00;19.3
